User,UserID,Query,TweetID,Created_At,Mention
joannafredjones,304027284,Dodgers,1056294583800279040,2018-10-27 21:20:28,R3Thorns
SoCalSunDevil,223635370,Dodgers,1056294582248341504,2018-10-27 21:20:28,ESPNMcGee
kellyinvegas,51851514,Dodgers,1056294579614375936,2018-10-27 21:20:27,Chris_Broussard
ty_lam97,762907978982825984,Dodgers,1056294578225991680,2018-10-27 21:20:27,Tuff_Overlord
kingofspades33,309347740,Dodgers,1056294574640033793,2018-10-27 21:20:26,YahooSports
kingofspades33,309347740,Dodgers,1056294574640033793,2018-10-27 21:20:26,Dodgers
kingofspades33,309347740,Dodgers,1056294574640033793,2018-10-27 21:20:26,ClaytonKersh22
Up_the_Empire,864406994635116544,Dodgers,1056294572475760644,2018-10-27 21:20:25,rosie_8
gotsavethequeen,1427433943,Dodgers,1056294570798051329,2018-10-27 21:20:25,Dodgers
matt_lamanna,938757980476137473,Dodgers,1056294565882273793,2018-10-27 21:20:24,BortlesFacts
matt_lamanna,938757980476137473,Dodgers,1056294565882273793,2018-10-27 21:20:24,RedSox
matt_lamanna,938757980476137473,Dodgers,1056294565882273793,2018-10-27 21:20:24,Dodgers
Moola_Stacks,375454361,Dodgers,1056294564447899649,2018-10-27 21:20:23,Section10Pod
Moola_Stacks,375454361,Dodgers,1056294564447899649,2018-10-27 21:20:23,Dodgers
cchloetrann,1054184105280241665,Dodgers,1056294557577605120,2018-10-27 21:20:22,ArashMarkazi
__Luciagl__,1012459304052559873,Dodgers,1056294548555644929,2018-10-27 21:20:20,protectsloueh
LA_bloKE,36691018,Dodgers,1056294547616018432,2018-10-27 21:20:19,Dodgers
TBRays2019,2312344626,Dodgers,1056294543610523648,2018-10-27 21:20:18,baseballcardESP
mattgodelman,785307280141082627,Dodgers,1056294539034574848,2018-10-27 21:20:17,bryandeno
gerardo28vip,110614847,Dodgers,1056294538002739200,2018-10-27 21:20:17,Tabernabeu
gerardo28vip,110614847,Dodgers,1056294538002739200,2018-10-27 21:20:17,Dodgers
Boomskie,56195398,Dodgers,1056294533716033536,2018-10-27 21:20:16,Dodgers
Boomskie,56195398,Dodgers,1056294533716033536,2018-10-27 21:20:16,RedSox
Boomskie,56195398,Dodgers,1056294533716033536,2018-10-27 21:20:16,MLB
Boomskie,56195398,Dodgers,1056294533716033536,2018-10-27 21:20:16,HemondDelhiSABR
Boomskie,56195398,Dodgers,1056294533716033536,2018-10-27 21:20:16,baseballmarty
Boomskie,56195398,Dodgers,1056294533716033536,2018-10-27 21:20:16,ForbesSports
Rev_Strikeout,3742315396,Dodgers,1056294531900063745,2018-10-27 21:20:16,Dodgers
sungwink,865002701783834624,Dodgers,1056294529710596098,2018-10-27 21:20:15,lwtyleshome
