User,UserID,Query,ResultID,ResultCreated_At,RTUser,RTID,RT_created_at,RT_text
QueenDuck07,16211349,Dodgers,1056294693800235013,2018-10-27 21:20:54,CityOfNewYorkA1,1055979089700352001,2018-10-27 00:26:48,WORLD Baseball SERIES - GAME 3. WORLD Baseball SERIES - GAME 3.Los Angeles Dodgers vs Boston Red Sox Live Streaming Los Angeles Dodgers vs Boston Red Sox Live StreamingLos Angeles Dodgers vs Boston Red Sox Live Streaming:WATCH LIVE NOW&gt;&gt;&gt;https://t.co/Z2IOhHEgvi https://t.co/NUbrhfF1s6
crystalblu01,734577166239825920,Dodgers,1056294691539275776,2018-10-27 21:20:54,Dodgers,1056288506056560641,2018-10-27 20:56:19,Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
GreatGasScam,719780842873167872,Dodgers,1056294688850759680,2018-10-27 21:20:53,MichaelWestBiz,1055243214389575680,2018-10-24 23:42:42,FIRB has just delayed decision on sale of APA gas pipelines monopoly to HK/Caymans group. Should be a no brainer. Dont sell monopolies to already dominant energy sector tax dodgers https://t.co/9GcA9Ny1S0
HernndezEduard3,1037861570058104832,Dodgers,1056294669292920832,2018-10-27 21:20:48,Dodgers,1056288506056560641,2018-10-27 20:56:19,Tonights GM. 4 Dodger lineup vs. Red Sox: Freese 1BMuncy 2BTurner 3BMachado SSBellinger CFPuig RFTaylor LFBarnes CHill P#LADetermined  | #WorldSeries https://t.co/Fy2cyfooKf
jimmyanurak,373864432,Dodgers,1056294666784538624,2018-10-27 21:20:48,BBCWorld,1056148803600953346,2018-10-27 11:41:11,Los Angeles Dodgers win longest game in #WorldSeries history beating Boston Red Soxhttps://t.co/BINxl1HGpr
MeraMartinez4,2328167887,Dodgers,1056294662418325504,2018-10-27 21:20:47,MLBStatoftheDay,1056225676909559808,2018-10-27 16:46:39,.@Dodgers pitching set a @MLB record with 19 Ks in #WorldSeries Game 3. https://t.co/Wzu6QBSgC9
wrikent3500,15827727,Dodgers,1056294657028771845,2018-10-27 21:20:45,DaneCook,1056293798790094848,2018-10-27 21:17:21,That #RedSox #Dodgers game was so long last night that I wrote a pilot called The 18th Inning about a retired assassin who gets back into the business for just one last job only to find himself an unlikely mentor and friend of a young boy searching for his lost dog.
lamarrana1916,1492091840,Dodgers,1056294654776360962,2018-10-27 21:20:45,ERAZNOYLACHOKO,1056096300725194752,2018-10-27 08:12:34,Dicen: Pobres jugadores el partido duro 7 horas! Se ve que no an trabajado en el campo 11 bajo el sol   #dodgersvsredsox #RedSoxVsDodgers #RedSoxNation #dodgers    #redsox    #WorldSeries2018 #WorldSeries   #LA #Boston #LosAngeles
alejandrovllnv,462996795,Dodgers,1056294651479625730,2018-10-27 21:20:44,EJerezESPN,1056091301106479104,2018-10-27 07:52:42,Muncy dejo a los Medias Rojas en el terreno. En 18 entradas los Dodgers se llevaron la victoria. 3-2 final en Los Angeles. #smESPN
ayyejoni,2908831525,Dodgers,1056294650732929025,2018-10-27 21:20:44,MLBNetwork,1056206637348806656,2018-10-27 15:31:00,You werent dreaming @Dodgers fans!Relive @maxmuncy9s 18th inning walk-off blast via #BallparkCam! https://t.co/kbbtTEVJ14
